,freq,s_adj,age,unit,sex,geo,date,rate
232,M,SA,TOTAL,PC_ACT,T,CY,2020-10 ,10.5 
233,M,SA,TOTAL,PC_ACT,T,CZ,2020-10 ,2.8 
234,M,SA,TOTAL,PC_ACT,T,DE,2020-10 ,0
235,M,SA,TOTAL,PC_ACT,T,DK,2020-10 ,5.9 
236,M,SA,TOTAL,PC_ACT,T,EA,2020-10 ,8.4 
237,M,SA,TOTAL,PC_ACT,T,EA18,2020-10 ,8.4 
238,M,SA,TOTAL,PC_ACT,T,EA19,2020-10 ,8.4 
239,M,SA,TOTAL,PC_ACT,T,EE,2020-10 ,8.1 
240,M,SA,TOTAL,PC_ACT,T,EL,2020-10 ,16.4 
241,M,SA,TOTAL,PC_ACT,T,ES,2020-10 ,16.3 
242,M,SA,TOTAL,PC_ACT,T,EU27_2020,2020-10 ,7.6 
243,M,SA,TOTAL,PC_ACT,T,FI,2020-10 ,8.2 
244,M,SA,TOTAL,PC_ACT,T,FR,2020-10 ,8.6 
245,M,SA,TOTAL,PC_ACT,T,HR,2020-10 ,7.8 
246,M,SA,TOTAL,PC_ACT,T,HU,2020-10 ,4.5 
247,M,SA,TOTAL,PC_ACT,T,IE,2020-10 ,6.2 
248,M,SA,TOTAL,PC_ACT,T,IS,2020-10 ,5.9 
249,M,SA,TOTAL,PC_ACT,T,IT,2020-10 ,9.5 
250,M,SA,TOTAL,PC_ACT,T,JP,2020-10 ,3.1 
251,M,SA,TOTAL,PC_ACT,T,LT,2020-10 ,10.4 
252,M,SA,TOTAL,PC_ACT,T,LU,2020-10 ,6.5 
253,M,SA,TOTAL,PC_ACT,T,LV,2020-10 ,8.1 
254,M,SA,TOTAL,PC_ACT,T,MT,2020-10 ,4.5 
255,M,SA,TOTAL,PC_ACT,T,NL,2020-10 ,4.3 
256,M,SA,TOTAL,PC_ACT,T,NO,2020-10 ,5.2 
257,M,SA,TOTAL,PC_ACT,T,PL,2020-10 ,3.4 
258,M,SA,TOTAL,PC_ACT,T,PT,2020-10 ,7.5 
259,M,SA,TOTAL,PC_ACT,T,RO,2020-10 ,5.3 
260,M,SA,TOTAL,PC_ACT,T,SE,2020-10 ,8.6 
261,M,SA,TOTAL,PC_ACT,T,SI,2020-10 ,4.9 
262,M,SA,TOTAL,PC_ACT,T,SK,2020-10 ,7.1 
263,M,SA,TOTAL,PC_ACT,T,TR,2020-10 ,12.9 
264,M,SA,TOTAL,PC_ACT,T,UK,2020-10 ,0
265,M,SA,TOTAL,PC_ACT,T,US,2020-10 ,6.9 
